"index"	"input_logprob"	"output_logprob"	"shift_freq"	"correct"	"shift"	"shift_level"	"pred"
0	-34.4344367980957	-14.9972724914551	59	1	1	1	0.774903042453786
1	-35.560962677002	-14.9969806671143	59	1	1	1	0.777873137726823
2	-40.2080383300781	-14.9965553283691	59	1	1	1	0.789820506569954
3	-37.7570381164551	-15.007698059082	59	1	1	1	0.783473525375579
4	-37.7858848571777	-14.9917259216309	59	1	1	1	0.783701631483893
5	-36.9799919128418	-14.9894962310791	59	1	1	1	0.781643440601693
6	-36.4517059326172	-15.0106201171875	59	1	1	1	0.780066523740872
7	-38.2742500305176	-15.0106201171875	59	1	1	1	0.784773723489999
8	-35.3526802062988	-14.9893569946289	59	1	1	1	0.777401611475781
9	-40.0565986633301	-14.9862174987793	59	1	1	1	0.789536454759738
10	-36.4561424255371	-14.9854125976562	59	0	1	1	0.780323675971075
11	-37.998950958252	-15.0153274536133	59	0	1	1	0.784022120795894
12	-35.1870994567871	-15.0165519714355	59	1	1	1	0.776698713522511
13	-45.750186920166	-14.9828948974609	59	1	1	1	0.803561570533254
14	-35.9754295349121	-15.0181541442871	59	1	1	1	0.778750556873273
15	-40.1535491943359	-15.0203704833984	59	1	1	1	0.78945842315169
16	-36.0781364440918	-14.9788970947266	59	0	1	1	0.779402653743438
17	-37.8673400878906	-15.0222206115723	59	1	1	1	0.783617410349963
18	-37.3250007629395	-15.0228462219238	59	1	1	1	0.782212898146395
19	-41.7968864440918	-14.9748706817627	59	1	1	1	0.793995809534213
20	-39.4178047180176	-15.0261116027832	59	0	1	1	0.787542472580065
21	-34.0676345825195	-14.9733352661133	59	0	1	1	0.774168714658192
22	-36.4303665161133	-15.0267887115479	59	0	1	1	0.779853299864751
23	-37.0147399902344	-15.0273723602295	59	1	1	1	0.781365998959047
24	-38.0569038391113	-15.0277309417725	59	1	1	1	0.784051673111098
25	-34.1267471313477	-15.0282325744629	59	0	1	1	0.773779963727687
26	-32.1261825561523	-14.9703941345215	59	1	1	1	0.769007105738059
27	-34.2255325317383	-14.9673938751221	59	1	1	1	0.774646202086848
28	-39.1240310668945	-15.0339813232422	59	1	1	1	0.786720743339163
29	-46.9172172546387	-14.9655227661133	59	1	1	1	0.806495543740672
30	-31.6454544067383	-15.0386219024658	59	0	1	1	0.767016960061506
