index	input_nchars	input_ntokens	input_logprob	output_logprob	shift_level	shift_freq	correct
0	7	4	-34.4344367980957	-14.997272491455078	1	59	1
1	7	5	-35.56096267700195	-14.996980667114258	1	59	1
2	7	4	-40.208038330078125	-14.99655532836914	1	59	1
3	7	4	-37.75703811645508	-15.007698059082031	1	59	1
4	7	3	-37.785884857177734	-14.99172592163086	1	59	1
5	7	4	-36.9799919128418	-14.989496231079102	1	59	1
6	7	4	-36.45170593261719	-15.0106201171875	1	59	1
7	7	4	-38.27425003051758	-15.0106201171875	1	59	1
8	7	4	-35.35268020629883	-14.989356994628906	1	59	1
9	7	4	-40.05659866333008	-14.986217498779297	1	59	1
10	7	4	-36.45614242553711	-14.98541259765625	1	59	0
11	7	3	-37.99895095825195	-15.01532745361328	1	59	0
12	7	4	-35.18709945678711	-15.016551971435549	1	59	1
13	7	4	-45.750186920166016	-14.982894897460938	1	59	1
14	7	3	-35.97542953491211	-15.01815414428711	1	59	1
15	7	4	-40.15354919433594	-15.020370483398438	1	59	1
16	7	3	-36.0781364440918	-14.978897094726562	1	59	0
17	7	4	-37.867340087890625	-15.022220611572266	1	59	1
18	7	4	-37.32500076293945	-15.022846221923828	1	59	1
19	7	5	-41.7968864440918	-14.974870681762695	1	59	1
20	7	4	-39.41780471801758	-15.026111602783203	1	59	0
21	7	4	-34.06763458251953	-14.97333526611328	1	59	0
22	7	4	-36.43036651611328	-15.026788711547852	1	59	0
23	7	4	-37.014739990234375	-15.027372360229492	1	59	1
24	7	4	-38.05690383911133	-15.02773094177246	1	59	1
25	7	4	-34.126747131347656	-15.02823257446289	1	59	0
26	7	3	-32.126182556152344	-14.970394134521484	1	59	1
27	7	4	-34.22553253173828	-14.96739387512207	1	59	1
28	7	3	-39.12403106689453	-15.033981323242188	1	59	1
29	7	4	-46.91721725463867	-14.96552276611328	1	59	1
30	7	3	-31.64545440673828	-15.03862190246582	1	59	0
31	7	4	-36.87516403198242	-14.960699081420898	1	59	1
32	7	3	-33.84683609008789	-14.959224700927734	1	59	1
33	7	3	-37.17782211303711	-14.95616340637207	1	59	0
34	7	4	-39.28156661987305	-14.955455780029297	1	59	1
35	7	4	-34.83864974975586	-15.044797897338867	1	59	1
36	7	4	-35.26093673706055	-14.953641891479492	1	59	1
37	7	5	-33.554534912109375	-15.04793930053711	1	59	1
38	7	3	-37.962459564208984	-14.94735336303711	1	59	1
39	7	4	-38.21908187866211	-15.053237915039062	1	59	1
40	7	3	-33.80490493774414	-15.053678512573242	1	59	0
41	7	5	-36.340641021728516	-14.94501495361328	1	59	1
42	7	4	-41.09378433227539	-15.055164337158203	1	59	1
43	7	4	-39.54336929321289	-15.056617736816406	1	59	1
44	7	4	-39.17953109741211	-14.942996978759766	1	59	1
45	7	4	-37.94923782348633	-15.057003021240234	1	59	1
46	7	4	-36.41886520385742	-14.942134857177734	1	59	1
47	7	4	-40.151206970214844	-15.059274673461914	1	59	1
